RedJade Code,0,1
XGE,-0.31665543,-0.5529739
OZP,-0.1473633,0.13771205
VUB,-0.3056689,0.03999231
GZI,-0.39910156,-0.25517642
OQR,-0.47575757,-0.26355374
WHV,-0.5677109,0.4476015
GUG,-0.36280793,-0.43953618
XHR,0.22348456,-0.27528015
ECI,-0.38089854,-0.37059242
LBZ,-0.33486298,-0.16754095
BIF,-0.044699162,-0.28799608
ZKC,-0.22365804,-0.35548955
HWH,0.0031607393,-0.38083807
TRH,0.46029884,-0.081858546
XOD,-0.10488047,-0.4054489
DRX,0.8415025,0.034020107
IMA,0.75769264,0.1626723
WCF,-0.51208514,-0.47276187
DAO,-0.50420046,-0.41057676
LGI,-0.33477277,-0.660741
JKT,-0.6505213,-0.10587482
OHF,-0.43847594,0.6365162
RYY,-0.539154,-0.26926088
ZBS,0.019075211,-0.536417
PXT,0.27014664,0.4396385
KBU,-0.7164682,0.6328105
JJP,-0.57316667,0.21792883
EVV,-0.2206213,-0.07812036
HFX,-0.28257668,-0.17841114
NMW,-0.23035188,-0.21848413
VAU,-0.4571133,0.07230305
INK,-0.101516776,-0.030106893
MZZ,-0.5658792,-0.16938078
HIX,0.71327096,0.12042187
UBS,-0.5040447,-0.3358821
JOZ,0.51293886,-0.32939947
PLC,-0.1424789,0.20568529
JGN,-0.07847108,-0.35304514
HJH,-0.4529255,-0.2942847
UUA,-0.4909784,-0.3511626
MUK,-0.10872038,0.029506298
WXH,-0.57891047,-0.39348507
ENR,0.16943909,0.5378306
TYB,0.33383498,0.18148372
GFG,0.12166378,-0.05980883
JYS,-0.71641386,0.20438658
PTF,0.2663362,0.04951371
GON,0.45344225,0.45221183
VFA,-0.46395442,-0.41813368
QGE,-0.47261715,-0.3239202
ZUJ,-0.061040714,-0.22381608
BXX,0.08693337,-0.24473736
XQA,-0.39195806,-0.4498876
JFU,-0.012229101,-0.21058725
ODU,-0.18376482,-0.6959043
BRF,-0.13029459,0.36148632
VZY,-0.16019985,0.020243455
AFB,0.44644755,0.015748085
ZFZ,-0.6164768,0.1296462
JJF,-0.40191567,0.91891456
LUC,-0.37911463,-0.2297054
OVF,0.28882,0.22663002
TPN,-0.051898763,0.11771978
NUQ,0.040642764,0.58267576
JJH,-0.59070855,-0.11504002
IZX,-0.1565627,0.27680442
XLB,0.56869715,0.23750326
UMX,0.056728974,-0.12339583
AYC,0.23613997,0.15750901
QLX,0.028894063,-0.55066895
GLM,-0.06081495,-0.7517866
EXX,-0.30849078,-0.36351913
ZJR,-0.5351168,-0.32936072
PBI,-0.24246082,-0.5047278
SHH,-0.43639866,-0.4090718
NPN,0.18681742,-0.07310603
BGA,0.3542639,-0.13019584
MAR,-0.5401346,0.9016454
GBW,-0.58936536,0.11064849
TRC,0.4066696,0.019444656
FEI,-0.4296092,0.67890686
YOQ,-0.71149766,0.7687637
ACG,-0.495797,0.99506176
PKB,0.47975537,0.29489574
SRY,-0.28576958,-0.44940406
LBR,0.30245483,-0.030869229
DIJ,-0.19217314,0.45263413
PZC,-0.15606104,0.22825019
ESF,-0.09284437,0.24647291
ECM,-0.28439912,-0.00026254688
JVF,-0.17961115,0.30726945
