SubjectCode,Triplet,Rep,RedJade Code A,roleA,RedJade Code B,roleB,Roles,Perceptual Distance,Structural Distance
P25,018 067 165,1,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,45.48112576,0.9347826086956522
P26,018 067 165,2,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,31.09029431,0.9230769230769232
P26,018 067 165,2,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,69.75936998,0.59375
P26,018 067 165,2,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,39.4211428,0.9347826086956522
P26,018 067 165,1,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,18.45243886,0.9230769230769232
P26,018 067 165,1,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,79.70581033,0.59375
P26,018 067 165,1,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,61.27380272,0.9347826086956522
P27,018 067 165,2,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,132.4976755,0.9230769230769232
P27,018 067 165,2,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,95.82722473,0.59375
P27,018 067 165,2,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,71.31168347,0.9347826086956522
P27,018 067 165,1,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,33.09007404,0.9230769230769232
P27,018 067 165,1,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,107.0616687,0.59375
P27,018 067 165,1,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,127.9085896,0.9347826086956522
P28,018 067 165,2,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,44.92592347,0.9230769230769232
P28,018 067 165,2,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,96.62731084,0.59375
P28,018 067 165,2,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,86.5789732,0.9347826086956522
P28,018 067 165,1,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,72.78158558,0.9230769230769232
P28,018 067 165,1,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,88.82268911,0.59375
P28,018 067 165,1,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,34.62447834,0.9347826086956522
P31,018 067 165,2,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,117.4758805,0.9230769230769232
P31,018 067 165,2,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,13.97200057,0.59375
P31,018 067 165,2,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,103.6833858,0.9347826086956522
P31,018 067 165,1,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,90.46504076,0.9230769230769232
P31,018 067 165,1,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,10.28453694,0.59375
P31,018 067 165,1,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,96.57696672,0.9347826086956522
P32,018 067 165,2,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,56.58955116,0.9230769230769232
P32,018 067 165,2,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,25.38700455,0.59375
P32,018 067 165,2,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,51.4891843,0.9347826086956522
P32,018 067 165,1,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,48.46294461,0.9230769230769232
P32,018 067 165,1,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,63.74569005,0.59375
P32,018 067 165,1,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,30.42444412,0.9347826086956522
P5,018 067 165,2,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,34.00065441,0.9230769230769232
P5,018 067 165,2,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,108.9754183,0.59375
P5,018 067 165,2,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,75.19312535,0.9347826086956522
P5,018 067 165,1,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,26.67237147,0.9230769230769232
P5,018 067 165,1,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,111.9552647,0.59375
P5,018 067 165,1,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,85.3690629,0.9347826086956522
P6,018 067 165,2,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,54.25780865,0.9230769230769232
P6,018 067 165,2,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,80.71404463,0.59375
P6,018 067 165,2,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,31.96220268,0.9347826086956522
P6,018 067 165,1,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,32.58711402,0.9230769230769232
P6,018 067 165,1,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,62.28323129,0.59375
P6,018 067 165,1,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,32.12190685,0.9347826086956522
P9,018 067 165,2,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,45.25782253,0.9230769230769232
P9,018 067 165,2,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,53.15736732,0.59375
P9,018 067 165,2,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,46.11785988,0.9347826086956522
P9,018 067 165,1,JBL,anchor,SOE,struct_cliff,anchor.to.struct_cliff,72.21957699,0.9230769230769232
P9,018 067 165,1,JBL,anchor,JKT,label_cliff,anchor.to.label_cliff,36.45364865,0.59375
P9,018 067 165,1,SOE,struct_cliff,JKT,label_cliff,struct_cliff.to.label_cliff,73.87639948,0.9347826086956522
P1,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,126.8134961,0.8529411764705882
P1,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,46.69518284,0.5625
P1,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,80.18228794,0.8809523809523809
P1,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,56.07875979,0.8529411764705882
P1,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,25.25800071,0.5625
P1,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,30.86349462,0.8809523809523809
P10,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,51.80406355,0.8529411764705882
P10,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,9.650497397,0.5625
P10,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,60.71526744,0.8809523809523809
P10,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,47.3580595,0.8529411764705882
P10,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,7.103104955,0.5625
P10,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,47.43643431,0.8809523809523809
P11,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,20.29408781,0.8529411764705882
P11,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,33.95864691,0.5625
P11,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,53.43579044,0.8809523809523809
P11,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,100.7254814,0.8529411764705882
P11,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,114.915465,0.5625
P11,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,14.2049604,0.8809523809523809
P13,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,91.66160428,0.8529411764705882
P13,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,88.70583408,0.5625
P13,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,77.59015724,0.8809523809523809
P14,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,22.30976468,0.8529411764705882
P14,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,67.18415364,0.5625
P14,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,68.13995377,0.8809523809523809
P14,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,27.67594082,0.8529411764705882
P14,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,120.817656,0.5625
P14,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,102.0827571,0.8809523809523809
P19,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,4.497554891,0.8529411764705882
P19,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,9.383757243,0.5625
P19,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,13.88055114,0.8809523809523809
P19,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,10.15583576,0.8529411764705882
P19,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,13.69044192,0.5625
P19,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,13.869708,0.8809523809523809
P2,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,54.42890868,0.8529411764705882
P2,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,116.3523751,0.5625
P2,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,104.9852585,0.8809523809523809
P2,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,67.01871455,0.8529411764705882
P2,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,49.79943474,0.5625
P2,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,91.06992918,0.8809523809523809
P23,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,97.45140994,0.8529411764705882
P23,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,89.61393697,0.5625
P23,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,84.87007129,0.8809523809523809
P23,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,87.75463634,0.8529411764705882
P23,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,91.65893792,0.5625
P23,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,98.32647507,0.8809523809523809
P25,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,28.17283976,0.8529411764705882
P25,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,38.19600634,0.5625
P25,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,37.7550341,0.8809523809523809
P25,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,28.4838779,0.8529411764705882
P25,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,46.99657541,0.5625
P25,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,67.92226292,0.8809523809523809
P26,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,21.37716539,0.8529411764705882
P26,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,21.44391988,0.5625
P26,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,42.81258343,0.8809523809523809
P26,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,81.4117252,0.8529411764705882
P26,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,123.4254808,0.5625
P26,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,93.51030799,0.8809523809523809
P27,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,3.803011964,0.8529411764705882
P27,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,120.4902195,0.5625
P27,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,118.2982405,0.8809523809523809
P27,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,16.57958383,0.8529411764705882
P27,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,115.0730312,0.5625
P27,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,126.9328425,0.8809523809523809
P28,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,97.62175833,0.8529411764705882
P28,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,15.45758713,0.5625
P28,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,93.4741146,0.8809523809523809
P28,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,86.6153872,0.8529411764705882
P28,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,14.56377012,0.5625
P28,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,89.99526043,0.8809523809523809
P31,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,32.04026373,0.8529411764705882
P31,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,74.02261276,0.5625
P31,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,74.66284283,0.8809523809523809
P31,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,18.87597944,0.8529411764705882
P31,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,49.1723347,0.5625
P31,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,48.16040801,0.8809523809523809
P32,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,58.98992626,0.8529411764705882
P32,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,23.50302108,0.5625
P32,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,61.70643564,0.8809523809523809
P32,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,72.14950104,0.8529411764705882
P32,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,14.09441379,0.5625
P32,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,75.41696891,0.8809523809523809
P5,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,31.90142944,0.8529411764705882
P5,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,84.09133725,0.5625
P5,036 471 813,2,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,115.9886244,0.8809523809523809
P5,036 471 813,1,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,43.0022325,0.8529411764705882
P5,036 471 813,1,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,114.641267,0.5625
P5,036 471 813,1,MMA,struct_cliff,MDD,label_cliff,struct_cliff.to.label_cliff,72.11802063,0.8809523809523809
P6,036 471 813,2,FAC,anchor,MMA,struct_cliff,anchor.to.struct_cliff,50.81297669,0.8529411764705882
P6,036 471 813,2,FAC,anchor,MDD,label_cliff,anchor.to.label_cliff,25.94518067,0.5625
